ID,Pred,Season,Team1,Team2,deltaSeed,deltaWinPct,deltaPointsFor,deltaPointsAgainst,deltaFGM,deltaFGA,deltaFGM3,deltaFGA3,deltaFTM,deltaFTA,deltaOR,deltaDR,deltaAst,deltaTO,deltaStl,deltaBlk,deltaPF
2019_1101_1113,0.5,2019,1101,1113,4,0.1056034482758621,-6.088362068965523,-8.165948275862064,-1.2489224137931032,-4.227370689655174,-0.008620689655172598,-2.3534482758620676,-3.581896551724139,-6.837284482758619,-3.087284482758621,-4.915948275862068,1.0269396551724146,-1.9385775862068968,1.78125,-0.6670258620689653,-0.768318965517242
2019_1101_1120,0.5,2019,1101,1120,10,0.057809330628803224,-7.158215010141987,-3.691683569979716,-1.6845841784989872,-5.199797160243406,-4.170385395537526,-11.074036511156184,0.38133874239350796,0.3336713995943228,-2.666328600405679,0.9553752535496969,0.20892494929006133,-0.49188640973630804,-1.2941176470588243,-2.2129817444219064,0.755578093306287
2019_1101_1124,0.5,2019,1101,1124,6,0.1993534482758621,0.06788793103447688,-2.290948275862064,-0.1551724137931032,-2.6648706896551744,-0.6961206896551726,-4.478448275862068,1.0743534482758612,0.19396551724138078,-4.306034482758621,-1.6971982758620676,0.7769396551724146,-1.6260775862068968,1.875,-2.1982758620689653,0.356681034482758
2019_1101_1125,0.5,2019,1101,1125,4,-0.04022988505747127,-15.142528735632183,-9.770114942528735,-6.321839080459771,-8.491954022988509,-3.1252873563218397,-9.070114942528733,0.6264367816091951,1.1689655172413822,0.16896551724137865,-6.7701149425287355,-4.979310344827587,0.05517241379310356,1.333333333333333,-1.2482758620689651,3.4379310344827587
2019_1101_1133,0.5,2019,1101,1133,0,0.2173458725182863,5.360501567398117,-0.28526645768025105,2.3145245559038656,1.938349007314521,0.33228840125391823,0.1389759665621746,0.39916405433646673,-0.29467084639498253,0.03866248693834784,-2.1943573667711576,2.560083594566354,-0.8902821316614418,2.8484848484848486,-1.205851619644723,1.5318704284221525
2019_1101_1138,0.5,2019,1101,1138,9,-0.11598746081504696,-13.094043887147336,-6.103448275862064,-4.927899686520377,-10.516196447230925,-2.45559038662487,-9.982236154649947,-0.7826541274817149,-2.1128526645768027,-3.506792058516197,-5.618599791013583,-2.015673981191222,-0.07210031347962342,0.7575757575757578,-1.5391849529780561,0.8045977011494259
2019_1101_1153,0.5,2019,1101,1153,8,-0.030425963488843744,0.018255578093302915,2.690669371196762,0.5212981744421903,-2.1997971602434063,0.5943204868154153,-0.10344827586206762,-1.618661257606492,-2.8133874239350902,-3.7545638945233275,-0.5152129817444191,1.179513184584179,1.125760649087221,1.8235294117647056,-1.9482758620689653,3.0791075050709935
2019_1101_1159,0.5,2019,1101,1159,0,0.09613375130616508,-3.7910135841170387,-5.194357366771158,-1.7763845350052243,-1.4555903866248698,-1.8495297805642643,-4.376175548589341,1.6112852664576796,2.6750261233019863,-0.5067920585161971,-2.8610240334378254,-1.0762800417972826,-1.5266457680250785,1.787878787878788,-0.8422152560083593,3.6530825496342736
2019_1101_1181,0.5,2019,1101,1181,14,-0.0598377281947261,-11.775862068965523,-2.662271805273832,-5.155172413793103,-8.67038539553753,-0.023326572008113722,-5.162271805273832,-1.4421906693711968,-3.0192697768762677,-4.313387423935092,-5.485801217038539,-1.2910750507099387,-1.4624746450304258,-1.4705882352941178,-4.271805273833671,3.2849898580121693
2019_1101_1192,0.5,2019,1101,1192,-1,0.21245828698553948,-3.017797552836484,-7.587319243604,-0.848720800889879,0.015572858731921713,-0.5650723025583986,-0.42602892102335943,-0.7552836484983327,-0.4794215795328114,-0.1568409343715249,-0.20022246941045552,0.6852057842046726,-1.7964404894327028,0.48387096774193505,-1.0934371523915458,2.39599555061179
2019_1101_1196,0.5,2019,1101,1196,5,0.23427991886409738,3.459432048681535,1.249492900608523,1.4036511156186613,-0.8468559837728193,-0.9056795131845838,-5.456389452332655,1.5578093306288032,2.0395537525354968,-1.54868154158215,0.0436105476673454,2.3853955375253566,-0.10953346855983881,0.8235294117647056,-1.154158215010142,1.990872210953345
2019_1101_1199,0.5,2019,1101,1199,11,-0.001014198782961384,-3.187626774847871,-2.2210953346856,-0.5081135902636902,-3.1115618661257614,-0.2586206896551726,-3.4563894523326546,-1.9127789046653145,-2.1369168356997967,-2.3722109533468565,-3.044624746450303,1.7383367139959436,-1.8448275862068968,1.0294117647058822,-1.7129817444219064,-0.00912778904665501
2019_1101_1205,0.5,2019,1101,1205,-1,0.14794215795328147,-4.050055617352626,-8.522803114571744,-0.9454949944382633,0.2091212458286975,-0.5005561735261406,-1.6518353726362598,-1.6585094549499448,-2.511679644048943,1.939933259176863,-2.8453837597330356,1.0077864293659626,-0.11902113459399288,1.774193548387097,0.0678531701890992,2.944382647385982
2019_1101_1209,0.5,2019,1101,1209,1,0.0743534482758621,-4.088362068965523,-8.165948275862064,-1.0301724137931032,-2.1336206896551744,-2.3836206896551726,-6.165948275862068,0.3556034482758612,-1.3997844827586192,1.037715517241379,-1.6971982758620676,2.4956896551724146,-0.1260775862068968,0.15625,-2.1357758620689653,1.669181034482758
2019_1101_1211,0.5,2019,1101,1211,14,-0.11598746081504696,-17.124346917450367,-0.1640543364681264,-6.836990595611283,-5.27377220480669,-0.5464994775339607,-2.4367816091953998,-2.9038662486938343,-2.688610240334377,-0.47648902821316597,-6.194357366771158,-3.5914315569487965,1.29153605015674,0.45454545454545414,-2.9331243469174497,3.0773249738766957
2019_1101_1222,0.5,2019,1101,1222,12,-0.11866125760649082,-3.893509127789059,3.661257606490878,-1.1845841784989872,-4.464503042596348,-1.9645030425963483,-6.721095334685597,0.44016227180527245,0.039553752535496756,-3.431034482758621,-5.515212981744419,-0.23225152129817417,0.30223123732251445,1.5588235294117645,-1.9482758620689653,0.07910750507099351
2019_1101_1233,0.5,2019,1101,1233,-1,0.2618534482758621,-5.119612068965523,-10.728448275862064,-0.7489224137931032,-2.3211206896551744,-1.5711206896551726,-6.228448275862068,-2.050646551724139,-2.306034482758619,0.256465517241379,-2.6971982758620676,1.4644396551724146,-0.7510775862068968,1.21875,-0.2295258620689653,1.919181034482758
2019_1101_1234,0.5,2019,1101,1234,5,0.12643678160919547,-6.5788923719958206,-8.739811912225704,-0.7763845350052243,-2.1525600835945653,-0.8495297805642643,-3.497387669801462,-4.176593521421108,-5.203761755485893,-1.264367816091955,-2.497387669801462,-1.106583072100312,-0.49634273772204907,1.8181818181818183,-0.7210031347962382,3.107628004179727
2019_1101_1235,0.5,2019,1101,1235,9,0.11663286004056794,-5.717038539553755,-3.426977687626774,-2.625760649087219,-3.4056795131845874,-1.2292089249492903,-4.309330628803245,0.763691683569979,1.2748478701825583,-0.34279918864097425,-2.8681541582150096,-0.6146044624746434,0.5375253549695742,1.0,-2.0953346855983774,4.373225152129816
2019_1101_1242,0.5,2019,1101,1242,11,0.057809330628803224,-3.658215010141987,-5.191683569979716,-1.9492900608519257,-3.8174442190669424,0.006085192697768527,-1.7505070993914806,0.23427991886409671,-0.3722109533468547,-1.313387423935092,-4.779918864097361,1.297160243407708,-1.7271805273833678,1.1470588235294121,-1.3894523326572008,2.2261663286004065
2019_1101_1243,0.5,2019,1101,1243,11,0.03552769070010453,5.905956112852664,5.654127481713694,1.587251828631139,0.12016718913270097,0.18077324973876685,-2.133751306165099,2.550679205851619,2.129571577847443,-0.385579937304076,-0.9216300940438842,0.8631138975966568,0.38244514106582983,0.3939393939393936,0.27899686520376177,2.9864158829676057
2019_1101_1246,0.5,2019,1101,1246,13,-0.025078369905956133,-5.003134796238257,-0.5276907001044862,-1.2612330198537087,-0.36468129571578345,1.2110762800417971,2.320794148380358,-3.691745036572623,-4.567398119122256,-2.5370950888192265,-3.921630094043884,0.7722048066875669,-0.9811912225705335,1.9696969696969697,-2.508881922675026,2.8349007314524535
2019_1101_1251,0.5,2019,1101,1251,3,-0.013348164627363657,-0.4694104560622918,2.606229143492776,-1.0422691879866512,0.6929922135706335,-1.1457174638487206,-4.00667408231368,2.7608453837597313,4.907675194660735,1.423804226918798,-1.2324805339265836,0.4916573971078986,0.4938820912124573,1.838709677419355,0.1001112347052282,3.525027808676306
2019_1101_1257,0.5,2019,1101,1257,8,0.18704284221525602,-2.82131661442007,-2.921630094043877,0.25391849529780686,-2.5768025078369945,-1.3949843260188093,-6.376175548589341,-1.9341692789968654,-1.2340647857889238,-1.1734587251828632,-5.103448275862068,1.2267502612330201,-0.7387669801462913,3.545454545454546,-0.417972831765935,1.8652037617554846
2019_1101_1261,0.5,2019,1101,1261,12,-0.0193965517241379,-9.650862068965523,-8.134698275862064,-3.155172413793103,-6.477370689655174,0.3976293103448274,-2.2909482758620676,-3.738146551724139,-4.181034482758619,-4.431034482758621,-2.3846982758620676,1.4956896551724146,-1.5635775862068968,-1.09375,-1.7607758620689653,0.450431034482758
2019_1101_1266,0.5,2019,1101,1266,10,0.0658307210031348,-6.003134796238257,-4.194357366771158,-0.9885057471264354,-2.1828631138975965,-2.1828631138975965,-5.0731452455590365,-1.8432601880877755,-1.5370950888192247,-0.5370950888192265,-5.557993730407521,0.9843260188087779,-2.253918495297805,3.1818181818181817,-1.7210031347962378,0.47126436781609016
2019_1101_1268,0.5,2019,1101,1268,9,0.1056034482758621,0.3803879310344769,-0.16594827586206407,0.1260775862068968,-0.2898706896551744,-0.008620689655172598,-1.6346982758620676,0.1368534482758612,0.8189655172413808,-1.899784482758621,-5.290948275862068,1.4019396551724146,-1.5323275862068968,3.65625,-2.1982758620689653,3.669181034482758
