Result,Season,Team1,Team2,deltaSeed,deltaWinPct,deltaPointsFor,deltaPointsAgainst,deltaFGM,deltaFGA,deltaFGM3,deltaFGA3,deltaFTM,deltaFTA,deltaOR,deltaDR,deltaAst,deltaTO,deltaStl,deltaBlk,deltaPF
1,2003,1421,1411,0,-0.15172413793103445,-1.5931034482758548,7.614942528735639,-0.3540229885057471,1.526436781609199,0.5494252873563212,-0.5,-1.434482758620689,-7.135632183908047,-0.8908045977011483,-1.6275862068965523,-1.165517241379309,0.9735632183908063,0.6356321839080454,0.7666666666666666,0.8034482758620669
1,2003,1112,1436,-15,0.23768472906403948,17.42118226600985,7.112068965517238,5.493842364532021,9.85221674876847,1.7598522167487687,4.588669950738918,4.673645320197043,5.448275862068964,2.213054187192119,1.9187192118226584,3.4359605911330036,0.7167487684729075,1.6022167487684724,1.248768472906404,1.8534482758620694
1,2003,1113,1272,3,-0.1724137931034483,1.448275862068968,3.3448275862068897,0.9310344827586228,-3.103448275862071,-3.0,-7.482758620689657,2.586206896551726,3.3103448275862064,-0.3793103448275854,-2.655172413793103,-1.068965517241379,0.2068965517241388,-2.1724137931034484,-0.8275862068965516,0.6551724137931068
0,2003,1166,1141,-5,0.08568443051201668,-0.10240334378264038,-8.908045977011497,2.0762800417972826,4.76489028213166,1.1421107628004181,2.553814002089865,-5.397074190177637,-5.142110762800417,0.2925809822361547,-0.09404388714733258,1.197492163009402,-4.877742946708466,1.290491118077325,0.45454545454545414,-3.6927899686520362
0,2003,1301,1143,1,-0.12413793103448278,-2.0827586206896456,-1.7586206896551744,-3.0114942528735646,-5.390804597701148,1.552873563218391,5.46551724137931,2.387356321839082,0.9494252873563198,-1.508045977011495,-2.345977011494252,-1.333333333333334,0.02758620689655089,1.214942528735632,0.2735632183908048,1.5632183908046002
0,2003,1140,1163,7,0.041935483870967794,-7.581720430107524,-7.722580645161294,-5.501075268817207,-10.94193548387097,0.1268817204301076,0.4290322580645167,3.2935483870967754,2.0612903225806427,-3.8956989247311835,-3.4806451612903224,-2.213978494623655,-2.0580645161290327,1.0021505376344084,-5.2172043010752684,3.0193548387096776
1,2003,1181,1161,-11,0.2333333333333334,7.966666666666669,-2.2666666666666657,0.9666666666666686,8.233333333333334,3.133333333333333,9.033333333333335,2.8999999999999986,3.8000000000000007,2.966666666666667,-0.3666666666666636,-1.666666666666666,-2.0999999999999996,3.166666666666667,0.9000000000000004,0.6999999999999993
0,2003,1153,1211,-1,-0.13479262672811065,-9.743087557603687,-6.693548387096769,-3.1716589861751174,1.2269585253456228,-0.4827188940092162,0.4354838709677402,-2.9170506912442384,-3.1094470046082954,0.20737327188940036,-1.9297235023041495,-3.4562211981566815,-3.9412442396313363,-1.6278801843317972,0.7338709677419355,0.31912442396313523
1,2003,1228,1443,-9,0.058064516129032295,2.3365591397849528,-5.019354838709681,1.3903225806451616,-0.1032258064516185,-0.2763440860215054,-0.8655913978494603,-0.1677419354838694,-1.9967741935483865,-2.4279569892473134,2.1419354838709666,4.073118279569892,-1.9946236559139798,-0.06451612903225801,-0.4483870967741934,0.681720430107525
1,2003,1242,1429,-13,0.03333333333333344,15.36666666666666,6.266666666666659,6.533333333333335,10.366666666666667,0.7666666666666666,2.0,1.5333333333333332,3.8999999999999986,1.6666666666666679,4.533333333333331,2.833333333333334,2.666666666666668,5.066666666666666,2.9000000000000004,0.5999999999999979
